-80.15474, 26.16697, Denny's, USA-United States
-90.40458, 38.55581, Denny's, USA-United States
-87.55899, 41.59610, Denny's, USA-United States
-157.83138, 21.27845, Denny's, USA-United States
-117.27503, 34.07990, Denny's, USA-United States
-111.71325, 33.57207, Denny's, USA-United States
-95.64374, 29.70273, Denny's, USA-United States
-89.50260, 43.05837, Denny's, USA-United States
-117.68971, 34.03252, Denny's, USA-United States
-81.99295, 34.92081, Denny's, USA-United States
-77.61305, 43.08697, Denny's, USA-United States
-115.24984, 36.24036, Denny's, USA-United States
-111.66221, 40.23910, Denny's, USA-United States
-81.28348, 28.91116, Denny's, USA-United States
-75.04461, 39.48690, Denny's, USA-United States
-115.56828, 32.77654, Denny's, USA-United States
-81.02456, 29.11546, Denny's, USA-United States
-81.59222, 28.33642, Denny's, USA-United States
-117.25579, 32.97944, Denny's, USA-United States
-112.17000, 33.61059, Denny's, USA-United States
-112.22028, 33.46352, Denny's, USA-United States
-121.43767, 44.22965, Denny's, USA-United States
-117.37601, 34.42654, Denny's, USA-United States
-89.07295, 42.22322, Denny's, USA-United States
-80.30376, 25.86644, Denny's, USA-United States
-93.30493, 45.07174, Denny's, USA-United States
-114.61203, 34.83901, Denny's, USA-United States
-118.30797, 34.06160, Denny's, USA-United States
-104.99078, 39.65337, Denny's, USA-United States
-90.25607, 29.98195, Denny's, USA-United States
-119.78956, 36.74405, Denny's, USA-United States
-82.78748, 27.92526, Denny's, USA-United States
-120.24951, 36.25439, Denny's, USA-United States
-112.16904, 33.49551, Denny's, USA-United States
-92.98552, 44.94703, Denny's, USA-United States
-111.95973, 33.40727, Denny's, USA-United States
-82.43996, 28.05474, Denny's, USA-United States
-84.12262, 33.35187, Denny's, USA-United States
-73.70094, 42.62332, Denny's, USA-United States
-119.80315, 39.53553, Denny's, USA-United States
-117.62557, 34.07782, Denny's, USA-United States
-120.99412, 37.66615, Denny's, USA-United States
-109.56074, 38.58850, Denny's, USA-United States
-82.58238, 35.59110, Denny's, USA-United States
-112.00080, 34.72123, Denny's, USA-United States
-120.66588, 35.48682, Denny's, USA-United States
-97.37061, 35.43449, Denny's, USA-United States
-117.09195, 33.12841, Denny's, USA-United States
-96.53748, 32.64824, Denny's, USA-United States
-98.79081, 26.36442, Denny's, USA-United States
-95.03047, 29.65511, Denny's, USA-United States
-76.93259, 39.39870, Denny's, USA-United States
-95.68737, 39.01011, Denny's, USA-United States
-114.02518, 46.84370, Denny's, USA-United States
-88.92605, 38.30165, Denny's, USA-United States
-80.13703, 26.10095, Denny's, USA-United States
-117.27208, 34.13606, Denny's, USA-United States
-87.88420, 41.92337, Denny's, USA-United States
-85.63687, 43.01929, Denny's, USA-United States
-86.41297, 36.92981, Denny's, USA-United States
-122.03533, 37.37493, Denny's, USA-United States
-124.19515, 41.75544, Denny's, USA-United States
-94.77985, 29.29667, Denny's, USA-United States
-97.16470, 26.09055, Denny's, USA-United States
-123.80599, 39.45195, Denny's, USA-United States
-72.49708, 41.82652, Denny's, USA-United States
-75.03921, 39.80328, Denny's, USA-United States
-80.47044, 41.23354, Denny's, USA-United States
-77.45321, 37.84734, Denny's, USA-United States
-87.41415, 39.46403, Denny's, USA-United States
-90.30087, 38.80831, Denny's, USA-United States
-97.02827, 32.75738, Denny's, USA-United States
-121.87055, 37.25065, Denny's, USA-United States
-80.15826, 40.44859, Denny's, USA-United States
-83.47585, 42.48984, Denny's, USA-United States
-104.23570, 32.43587, Denny's, USA-United States
-122.12437, 37.70913, Denny's, USA-United States
-117.51635, 33.88484, Denny's, USA-United States
-80.32606, 27.42035, Denny's, USA-United States
-81.79938, 24.55143, Denny's, USA-United States
-74.70113, 40.14829, Denny's, USA-United States
-116.94336, 44.02538, Denny's, USA-United States
-118.44296, 34.06081, Denny's, USA-United States
-95.40984, 29.87132, Denny's, USA-United States
-100.78153, 46.80187, Denny's, USA-United States
-80.11458, 26.18974, Denny's, USA-United States
-103.71197, 39.27026, Denny's, USA-United States
-76.98422, 40.24049, Denny's, USA-United States
-121.95646, 37.35251, Denny's, USA-United States
-93.26242, 44.86172, Denny's, USA-United States
-74.52799, 39.44561, Denny's, USA-United States
-157.82536, 21.27853, Denny's, USA-United States
-120.77245, 38.34664, Denny's, USA-United States
-122.17037, 37.70881, Denny's, USA-United States
-120.96742, 38.65802, Denny's, USA-United States
-111.88352, 33.53857, Denny's, USA-United States
-117.55855, 34.07022, Denny's, USA-United States
-78.62089, 35.82661, Denny's, USA-United States
-117.29336, 33.65792, Denny's, USA-United States
-96.86025, 46.86203, Denny's, USA-United States
-111.85544, 40.62318, Denny's, USA-United States
-81.73208, 41.41879, Denny's, USA-United States
-90.21917, 38.77011, Denny's, USA-United States
-111.62386, 35.19277, Denny's, USA-United States
-116.23175, 33.71500, Denny's, USA-United States
-81.15456, 34.07535, Denny's, USA-United States
-88.03198, 41.94964, Denny's, USA-United States
-78.75423, 42.86391, Denny's, USA-United States
-121.89219, 36.59520, Denny's, USA-United States
-80.71096, 28.23015, Denny's, USA-United States
-122.02793, 37.39623, Denny's, USA-United States
-77.44705, 43.00861, Denny's, USA-United States
-117.88861, 33.76021, Denny's, USA-United States
-118.41911, 34.20104, Denny's, USA-United States
-87.57525, 37.86079, Denny's, USA-United States
-95.88595, 36.06553, Denny's, USA-United States
-94.98204, 29.80551, Denny's, USA-United States
-108.50787, 45.78629, Denny's, USA-United States
-95.56897, 30.71824, Denny's, USA-United States
-85.70098, 37.99367, Denny's, USA-United States
-76.50702, 39.37561, Denny's, USA-United States
-86.82576, 40.41787, Denny's, USA-United States
-111.32323, 34.23832, Denny's, USA-United States
-106.30205, 31.76955, Denny's, USA-United States
-123.82097, 46.97160, Denny's, USA-United States
-105.02540, 39.74339, Denny's, USA-United States
-118.16596, 34.67513, Denny's, USA-United States
-83.46108, 34.25129, Denny's, USA-United States
-110.97809, 32.29769, Denny's, USA-United States
-81.52868, 30.32402, Denny's, USA-United States
-94.47769, 37.07409, Denny's, USA-United States
-117.84127, 33.98416, Denny's, USA-United States
-156.44646, 20.71857, Denny's, USA-United States
-82.33522, 26.93799, Denny's, USA-United States
-118.47820, 34.30311, Denny's, USA-United States
-117.50720, 47.62093, Denny's, USA-United States
-82.42486, 27.07490, Denny's, USA-United States
-95.49358, 29.84272, Denny's, USA-United States
-157.94016, 21.38186, Denny's, USA-United States
-117.32080, 34.50980, Denny's, USA-United States
-93.26317, 36.64153, Denny's, USA-United States
-80.18952, 25.81071, Denny's, USA-United States
-118.02458, 34.07201, Denny's, USA-United States
-105.99277, 35.65441, Denny's, USA-United States
-111.93984, 41.15780, Denny's, USA-United States
-117.18000, 33.13667, Denny's, USA-United States
-100.44132, 31.44841, Denny's, USA-United States
-76.61428, 39.20434, Denny's, USA-United States
-121.22483, 38.78834, Denny's, USA-United States
-107.86539, 38.45585, Denny's, USA-United States
-105.00735, 40.58292, Denny's, USA-United States
-117.88901, 33.85512, Denny's, USA-United States
-80.25726, 26.14720, Denny's, USA-United States
-75.65136, 39.68539, Denny's, USA-United States
-85.63320, 38.23392, Denny's, USA-United States
-111.90018, 40.55825, Denny's, USA-United States
-110.85535, 32.22079, Denny's, USA-United States
-87.53894, 38.01483, Denny's, USA-United States
