-111.59386, 40.08632, Chevron, USA-(UT) Spanish Fork, 3601 Powerhouse Rd
-115.06465, 36.12200, Chevron, USA-(NV) Las Vegas, 3710 S Nellis Blvd
-112.02512, 40.65278, Chevron, USA-(UT) Salt Lake City, 5408 S 5600 W
-119.71920, 39.55601, Chevron, USA-(NV) Sparks, 1365 Baring Blvd
-115.18604, 36.08601, Chevron, USA-(NV) Las Vegas, 3475 W Russell Rd
-119.82609, 39.52692, Chevron, USA-(NV) Reno, 890 W 4th St
-111.86628, 40.64991, Chevron, USA-(UT) Salt Lake City, 5590 S 900 E
-114.48420, 36.60785, Chevron, USA-(NV) Logandale, 3685 N Moapa Valley Blvd
-111.98794, 40.73056, Chevron, USA-(UT) Salt Lake City, 4025 W 1820 S
-115.12810, 36.07136, Chevron, USA-(NV) Las Vegas, 1785 E Sunset
-115.12320, 35.99996, Chevron, USA-(NV) Henderson, 3061 St. Rose Pkwy
-119.70135, 39.52791, Chevron, USA-(NV) Sparks, 2095 Brierley Way
-111.68773, 40.23353, Chevron, USA-(UT) Provo, 1601 W Center St
-115.06515, 36.13738, Chevron, USA-(NV) Las Vegas, 2886 S Nellis Blvd
-117.21557, 38.05401, Chevron, USA-(NV) Tonopah, 1500 Erie St
-111.72454, 40.29588, Chevron, USA-(UT) Orem, 50 S 1200 W
-113.07012, 37.66174, Chevron, USA-(UT) Cedar City, 924 S Main St
-111.83287, 41.82053, Chevron, USA-(UT) Smithfield, 780 S Main St
-111.88849, 40.71087, Chevron, USA-(UT) Salt Lake City, 2778 S State St
-111.95846, 40.70417, Chevron, USA-(UT) West Valley City, 3086 S 2700 W
-115.20802, 36.23843, Chevron, USA-(NV) Las Vegas, 4805 W Craig Rd
-115.11880, 36.05647, Chevron, USA-(NV) Las Vegas, 2353 E Warm Springs Rd
-119.73568, 39.53674, Chevron, USA-(NV) Sparks, 350 N McCarran Blvd
-119.85890, 39.51336, Chevron, USA-(NV) Reno, 9530 McCarran Blvd
-111.61239, 40.18596, Chevron, USA-(UT) Springville, 1415 N Main St
